,Property ID,Building name,Street address,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,x coordinate,y coordinate,Street level
1950,105298,Unknown building name,115-129 King Street MELBOURNE 3000,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9556,-37.8173,King Street
1951,109314,Unknown building name,401-405 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9632,-37.809,Swanston Street
1952,518187,COURTYARD,525-535 La Trobe Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.953,-37.8133,La Trobe Street
1953,105959,Benjamin House,358-360 Little Collins Street MELBOURNE 3000,5.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9626,-37.8153,Little Collins Street
1954,500332,Unknown building name,55-59 A'Beckett Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.962,-37.8091,A'Beckett Street
1955,105852,Dawson Chambers,401-405 Little Bourke Street MELBOURNE 3000,5.0,Office,Low level of accessibility,All entrances have steps,1.0,144.961,-37.814,Little Bourke Street
1956,105925,Unknown building name,287-289 Little Collins Street MELBOURNE 3000,3.0,Hospital/Clinic,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.965,-37.815,Little Collins Street
1957,105864,COMMUNICATIONS HOUSE EXTENSION,518-532 Little Bourke Street MELBOURNE 3000,20.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9568,-37.8147,Little Bourke Street
1958,108586,Unknown building name,166 Russell Street MELBOURNE 3000,4.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9682,-37.8123,Russell Street
1959,606674,Building 16,344 Swanston Street MELBOURNE 3000,7.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,Swanston Street
1960,105914,STAMFORD PLAZA MELBOURNE,109-119 Little Collins Street MELBOURNE 3000,18.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.97,-37.8135,Little Collins Street
1961,111283,550 BOURKE STREET - CBW Stage 2,546-560 Bourke Street MELBOURNE 3000,21.0,Unoccupied - Under Construction,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9572,-37.8154,Bourke Street
1962,108960,Atlantis Tower,284-294 Spencer Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9521,-37.8137,Spencer Street
1963,500333,Unknown building name,61-69 A'Beckett Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9617,-37.8092,A'Beckett Street
1964,106012,ST FRANCIS CHURCH MONASTERY,326 Lonsdale Street MELBOURNE 3000,5.0,Institutional Accommodation,Low level of accessibility,All entrances have steps,1.0,144.9626,-37.8116,Lonsdale Street
1965,108587,Unknown building name,162-164 Russell Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9682,-37.8124,Russell Street
1966,105680,The Mayflower on Lonsdale,139-143 Lonsdale Street MELBOURNE 3000,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9683,-37.8108,Lonsdale Street
1967,103945,Reliance House,301-311 Flinders Lane MELBOURNE 3000,6.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9641,-37.8176,Flinders Lane
1968,105491,Unknown building name,58-66 La Trobe Street MELBOURNE 3000,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9669,-37.8083,La Trobe Street
1969,105694,Unknown building name,233-237 Lonsdale Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9655,-37.8116,Lonsdale Street
1970,103326,Carlow House,281-291 Flinders Lane MELBOURNE 3000,11.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9649,-37.8172,Flinders Lane
1971,106370,Unknown building name,11-15 McKillop Street MELBOURNE 3000,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9617,-37.8155,McKillop Street
1972,103601,Unknown building name,189-195 Exhibition Street MELBOURNE 3000,2.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9699,-37.8113,Exhibition Street
1973,500323,Unknown building name,19-37 A'Beckett Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9626,-37.8089,A'Beckett Street
1974,106043,Unknown building name,288-294 Little Lonsdale Street MELBOURNE 3000,1.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9608,-37.8114,Little Lonsdale Street
1975,102084,Centreway Arcade,259-263 Collins Street MELBOURNE 3000,7.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9653,-37.8162,Collins Street
1976,589842,MCC Creche Bldg,10 Artemis Lane MELBOURNE 3000,6.0,Parking - Private Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9657,-37.8107,Artemis Lane
1977,100152,Unknown building name,47-49 A'Beckett Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9622,-37.8091,A'Beckett Street
1978,101165,OLD TRAMWAYS BUILDING,669-675 Bourke Street MELBOURNE 3000,4.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9541,-37.8172,Bourke Street
1979,101204,MID CITY ARCADE,194-200 Bourke Street MELBOURNE 3000,3.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9673,-37.8124,Bourke Street
1980,101778,Vesta House,1-7 Carson Place MELBOURNE 3000,6.0,Equipment Installation,Low level of accessibility,All entrances have steps,1.0,144.9652,-37.8152,Carson Place
1981,103933,McDonald House,165 Flinders Lane MELBOURNE 3000,8.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.969,-37.816,Flinders Lane
1982,108114,Prime Value House,28-38 Queen Street MELBOURNE 3000,12.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9624,-37.818,Queen Street
1983,109392,Curtain House,248-258 Swanston Street MELBOURNE 3000,7.0,Entertainment/Recreation - Indoor,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9653,-37.812,Swanston Street
1984,101127,Bourke House,143-153 Russell Street MELBOURNE 3000,6.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.968,-37.8131,Russell Street
1985,105383,Unknown building name,212-224 King Street MELBOURNE 3000,3.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9554,-37.815,King Street
1986,606673,Building 15,124 La Trobe Street MELBOURNE 3000,5.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9646,-37.8082,La Trobe Street
1987,105301,CO-OPERATION HOUSE,175-177 King Street MELBOURNE 3000,2.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9552,-37.816,King Street
1988,106056,Unknown building name,108-114 Little Lonsdale Street MELBOURNE 3000,1.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9684,-37.8091,Little Lonsdale Street
1989,102596,Unknown building name,22 Drewery Place MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9638,-37.8113,Drewery Place
1990,606675,Building 24,124 La Trobe Street MELBOURNE 3000,2.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,La Trobe Street
1991,101147,The Foundary,393-403 Bourke Street MELBOURNE 3000,9.0,Parking - Commercial Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9622,-37.8151,Bourke Street
1992,108556,Former Magistrates Court,325-343 Russell Street MELBOURNE 3000,4.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,Russell Street
1993,102091,Unknown building name,351-357 Collins Street MELBOURNE 3000,23.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9628,-37.8172,Collins Street
1994,105964,Shocko House,188-194 Little Collins Street MELBOURNE 3000,6.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9676,-37.8139,Little Collins Street
1995,101154,RACJ Centre,483-501 Bourke Street MELBOURNE 3000,19.0,Parking - Private Covered,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9596,-37.8159,Bourke Street
1996,110105,Unknown building name,261 William Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9566,-37.813,William Street
1997,102082,Newspaper House,247-249 Collins Street MELBOURNE 3000,7.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9657,-37.8161,Collins Street
1998,105733,State Public Offices,436-450 Lonsdale Street MELBOURNE 3000,9.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.959,-37.8129,Lonsdale Street
1999,102161,80 Collins Street,80 Collins Street MELBOURNE 3000,48.0,Office,High level of accessibility,Main Entrance has ramp,3.0,144.9707,-37.8136,Collins Street
2000,105316,Unknown building name,273 King Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9543,-37.8138,King Street
2001,110669,COLONIAL MUTUAL COMPLEX,353-359 Little Collins Street MELBOURNE 3000,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.963,-37.8157,Little Collins Street
2002,105981,Unknown building name,70-72 Little La Trobe Street MELBOURNE 3000,1.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9617,-37.8094,Little La
2003,101137,Tivoli Court,235-251 Bourke Street MELBOURNE 3000,17.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9666,-37.8138,Bourke Street
2004,103306,Unknown building name,382-384 Elizabeth Street MELBOURNE 3000,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9615,-37.8098,Elizabeth Street
2005,101139,Leviathon Stores Building,271-281 Bourke Street MELBOURNE 3000,6.0,Unoccupied - Unused,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9654,-37.8139,Bourke Street
2006,105837,CHINESE MISSION HALL & RESTAURAUNT,119-127 Little Bourke Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9688,-37.8116,Little Bourke Street
2007,101190,Unknown building name,380-382 Bourke Street MELBOURNE 3000,5.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9623,-37.8142,Bourke Street
2008,101179,Unknown building name,480 Bourke Street MELBOURNE 3000,4.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9595,-37.8151,Bourke Street
2009,106434,Unknown building name,14-16 Market Lane MELBOURNE 3000,3.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9695,-37.8119,Market Lane
2010,103308,A - C Buildings,368-378 Elizabeth Street MELBOURNE 3000,6.0,Educational/Research,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9618,-37.81,Elizabeth Street
2011,103632,Unknown building name,12-14 Exploration Lane MELBOURNE 3000,2.0,Unoccupied - Under Construction,Low level of accessibility,All entrances have steps,1.0,144.9684,-37.809,Exploration Lane
2012,105317,Unknown building name,275 King Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9543,-37.8138,King Street
2013,101194,Myer,314-336 Bourke Street MELBOURNE 3000,9.0,Retail - Shop,High level of accessibility,Main Entrance has ramp,3.0,144.9638,-37.8135,Bourke Street
2014,105855,PACIFIC INTERNATIONAL SUITES,459-475 Little Bourke Street MELBOURNE 3000,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.959,-37.8146,Little Bourke Street
2015,101099,Metro Parking,16-26 Bond Street MELBOURNE 3000,8.0,Parking - Commercial Covered,Low level of accessibility,All entrances have steps,1.0,144.9631,-37.8181,Bond Street
2016,102077,Regent Place Apartments,181-187 Collins Street MELBOURNE 3000,7.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9678,-37.8154,Collins Street
2017,108985,Unknown building name,159 Spring Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9725,-37.811,Spring Street
2018,110968,Elm Tower Apartments,306-320 Little Lonsdale Street MELBOURNE 3000,20.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9603,-37.8116,Little Lonsdale Street
2019,105926,Yule House,309-311 Little Collins Street MELBOURNE 3000,5.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9644,-37.8151,Little Collins Street
2020,100158,The Grill,213-219 A'Beckett Street MELBOURNE 3000,6.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9574,-37.8105,A'Beckett Street
2021,105847,Drayton House,373-375 Little Bourke Street MELBOURNE 3000,4.0,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9617,-37.8138,Little Bourke Street
2022,101097,Douglas House,34-36 Block Place MELBOURNE 3000,4.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9644,-37.8153,Block Place
2023,606671,Building 12 (Gillespie Wing),394-412 Swanston Street MELBOURNE 3000,16.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,Swanston Street
2024,542484,Building 22 (Singer Buiding),330-334 Swanston Street MELBOURNE 3000,4.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,Swanston Street
2025,608763,Unknown building name,295 King Street MELBOURNE 3000,4.0,Public Display Area,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.954,-37.8134,King Street
2026,109257,Young  And Jacksons Hotel,1-7 Swanston Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.967,-37.8174,Swanston Street
2027,106034,Unknown building name,372-378 Little Lonsdale Street MELBOURNE 3000,2.0,Unoccupied - Under Construction,High level of accessibility,Main Entrance has ramp,3.0,144.9583,-37.812,Little Lonsdale Street
2028,106006,Unknown building name,113-115 Little Lonsdale Street MELBOURNE 3000,2.0,Unoccupied - Unused,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9686,-37.8095,Little Lonsdale Street
2029,105487,Unknown building name,208-210 La Trobe Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.963,-37.8096,La Trobe Street
2030,100398,Unknown building name,7-19 Alfred Place MELBOURNE 3000,4.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9699,-37.814,Alfred Place
2031,110146,140  WILLIAM STREET,130-148 William Street MELBOURNE 3000,42.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9589,-37.816,William Street
2032,105309,Unknown building name,209-211 King Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9549,-37.8153,King Street
2033,605787,Unknown building name,283 Queen Street MELBOURNE 3000,3.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,144.9591,-37.8126,Queen Street
2034,105314,Gothic Revival Building,239-241 King Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9546,-37.8147,King Street
2035,108958,HarbourView Apartment Hotel,585 La Trobe Street MELBOURNE 3000,11.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9519,-37.8134,La Trobe Street
2036,102269,Unknown building name,27-29 Crossley Street MELBOURNE 3000,3.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9709,-37.8113,Crossley Street
2037,109315,DRUIDS HOUSE,407-409 Swanston Street MELBOURNE 3000,7.0,Hospital/Clinic,Low level of accessibility,All entrances have steps,1.0,144.9632,-37.809,Swanston Street
2038,105958,Unknown building name,378-380 Little Collins Street MELBOURNE 3000,1.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.962,-37.8155,Little Collins Street
2039,101175,Goldbrough Mort Building,516-526 Bourke Street MELBOURNE 3000,5.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9584,-37.8153,Bourke Street
2040,106049,Unknown building name,146-148 Little Lonsdale Street MELBOURNE 3000,2.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9676,-37.8095,Little Lonsdale Street
2041,105953,NORMANBY CHAMBERS,430-436 Little Collins Street MELBOURNE 3000,4.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9601,-37.816,Little Collins Street
2042,105446,Unknown building name,279-283 La Trobe Street MELBOURNE 3000,2.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9609,-37.8107,La Trobe Street
2043,109409,Unknown building name,158-164 Swanston Street MELBOURNE 3000,3.0,Unoccupied - Unused,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9662,-37.8139,Swanston Street
2044,108068,RACV BUILDING,111-129 Queen Street MELBOURNE 3000,17.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9606,-37.8158,Queen Street
2045,101142,The Walk Arcade,309-325 Bourke Street MELBOURNE 3000,9.0,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9645,-37.8145,Bourke Street
2046,104010,The Empire Apartments,256-268 Flinders Street MELBOURNE 3000,14.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9656,-37.8176,Flinders Street
2047,103947,Grand Mercure Hotel,317-323 Flinders Lane MELBOURNE 3000,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9638,-37.8177,Flinders Lane
2048,105388,Unknown building name,186 King Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9557,-37.8157,King Street
2049,102153,Assembly Hall,156-160 Collins Street MELBOURNE 3000,3.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9682,-37.8146,Collins Street
2050,106037,Unknown building name,324-328 Little Lonsdale Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9599,-37.8117,Little Lonsdale Street
2051,110762,IOOF Centre,303-317 Collins Street MELBOURNE 3000,30.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9638,-37.8166,Collins Street
2052,103318,HODDLE HOUSE,326-332 Little Collins Street MELBOURNE 3000,5.0,Office,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9639,-37.8151,Little Collins Street
2053,606644,Building 7,124 La Trobe Street MELBOURNE 3000,5.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,La Trobe Street
2054,110095,SAINT JAMES BUILDING,121 William Street MELBOURNE 3000,7.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9578,-37.8164,William Street
2055,104006,Rendezvous Hotel Melbourne,318-332 Flinders Street MELBOURNE 3000,10.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9636,-37.8182,Flinders Street
2056,105830,LIVERPOOL CHAMBERS,43 Little Bourke Street MELBOURNE 3000,4.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9714,-37.8109,Little Bourke Street
2057,602997,SOUTHERN CROSS 1,113-149 Exhibition Street MELBOURNE 3000,39.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9701,-37.8128,Exhibition Street
2058,110722,Former Factory,27-29 Little Lonsdale Street MELBOURNE 3000,2.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9707,-37.8092,Little Lonsdale Street
2059,104560,REGENCY HOUSE,33-35 Guildford Lane MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9599,-37.8115,Guildford Lane
2060,109308,Unknown building name,317 Swanston Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance has ramp,3.0,144.9641,-37.8108,Swanston Street
2061,105496,GMK House,36-40 La Trobe Street MELBOURNE 3000,2.0,Educational/Research,High level of accessibility,Main Entrance has ramp,3.0,144.9676,-37.8081,La Trobe Street
2062,102148,ATHENAEUM LIBRARY AND THEATRE,184-192 Collins Street MELBOURNE 3000,4.0,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance has ramp,3.0,144.9673,-37.8149,Collins Street
2063,103307,Unknown building name,380 Elizabeth Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9615,-37.8099,Elizabeth Street
2064,103319,City of Melbourne Chambers,112-118 Elizabeth Street MELBOURNE 3000,4.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9639,-37.8153,Elizabeth Street
2065,101200,TARGET CENTRE,222-244 Bourke Street MELBOURNE 3000,5.0,Unoccupied - Under Renovation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9663,-37.8127,Bourke Street
2066,101208,Unknown building name,180-182 Bourke Street MELBOURNE 3000,9.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9678,-37.8126,Bourke Street
2067,606676,Building 28,124 La Trobe Street MELBOURNE 3000,4.0,Educational/Research,High level of accessibility,Main Entrance has ramp,3.0,144.9646,-37.8082,La Trobe Street
2068,102092,Optus Centre,359-373 Collins Street MELBOURNE 3000,34.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9624,-37.8173,Collins Street
2069,109261,Commonwealth Bank,21-25 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,Low level of accessibility,All entrances have steps,1.0,144.9668,-37.817,Swanston Street
2070,105671,OAKFORD GORDON TOWERS,43-51 Lonsdale Street MELBOURNE 3000,7.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,144.9709,-37.81,Lonsdale Street
2071,106014,Unknown building name,361-365 Little Lonsdale Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9613,-37.8117,Little Lonsdale Street
2072,104014,Port Phiillip Arcade,228-236 Flinders Street MELBOURNE 3000,3.0,Educational/Research,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9666,-37.8172,Flinders Street
2073,102086,National Australia Bank,271-285 Collins Street MELBOURNE 3000,11.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.965,-37.8166,Collins Street
2074,105447,Unknown building name,285-287 La Trobe Street MELBOURNE 3000,3.0,Unoccupied - Under Renovation,Low level of accessibility,All entrances have steps,1.0,144.9608,-37.8107,La Trobe Street
2075,105873,CAMPTON HOUSE,362-364 Little Bourke Street MELBOURNE 3000,5.0,Residential Apartment,Low level of accessibility,All entrances have steps,1.0,144.9617,-37.8133,Little Bourke Street
2076,104930,Unknown building name,3-5 Hosier Lane MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.969,-37.8165,Hosier Lane
2077,101134,Commonwealth Bank Building,219-225 Bourke Street MELBOURNE 3000,11.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9671,-37.8135,Bourke Street
2078,108117,Qbe House,10-16 Queen Street MELBOURNE 3000,16.0,Office,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9626,-37.8184,Queen Street
2079,108537,Greater Union Russel Complex,131-141 Russell Street MELBOURNE 3000,4.0,"Performances, Conferences, Ceremonies",High level of accessibility,Main Entrance has ramp,3.0,144.9678,-37.8134,Russell Street
2080,606642,Building 5,124 La Trobe Street MELBOURNE 3000,4.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,La Trobe Street
2081,106369,VPA Building,41-45 MacKenzie Street MELBOURNE 3000,4.0,Unoccupied - Unused,Low level of accessibility,All entrances have steps,1.0,144.9666,-37.8079,MacKenzie Street
2082,606646,Building 9,124 La Trobe Street MELBOURNE 3000,4.0,Educational/Research,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9646,-37.8082,La Trobe Street
2083,606639,Building 2,124 La Trobe Street MELBOURNE 3000,5.0,Educational/Research,Low level of accessibility,All entrances have steps,1.0,144.9646,-37.8082,La Trobe Street
2084,109267,Manchester Unity Building,220-226 Collins Street MELBOURNE 3000,17.0,Workshop/Studio,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9661,-37.8153,Collins Street
2085,105913,Unknown building name,57-67 Little Collins Street MELBOURNE 3000,3.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9717,-37.8131,Little Collins Street
2086,103182,Moloneys  Apartments,197-199 Elizabeth Street MELBOURNE 3000,5.0,Residential Apartment,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9627,-37.8138,Elizabeth Street
2087,109403,Unknown building name,210 Swanston Street MELBOURNE 3000,2.0,Retail - Shop,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,144.9656,-37.8128,Swanston Street
2088,101128,Unknown building name,185-187 Bourke Street MELBOURNE 3000,4.0,Retail - Shop,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9678,-37.8131,Bourke Street
2089,101159,Moore Stephens House,607-619 Bourke Street MELBOURNE 3000,20.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9556,-37.8168,Bourke Street
2090,102170,Chanonry,14-16 Collins Street MELBOURNE 3000,6.0,Office,Low level of accessibility,All entrances have steps,1.0,144.9731,-37.8133,Collins Street
2091,102143,Australia on Collins,258-274 Collins Street MELBOURNE 3000,14.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9649,-37.8154,Collins Street
2092,103321,The Block Arcade (Elizabeth),96-102 Elizabeth Street MELBOURNE 3000,5.0,Office,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9642,-37.8155,Elizabeth Street
2093,504545,Unknown building name,14 Bourke Street MELBOURNE 3000,2.0,Entertainment/Recreation - Indoor,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,144.9725,-37.8113,Bourke Street
2094,108090,The Celtic Club,316-322 Queen Street MELBOURNE 3000,4.0,Entertainment/Recreation - Indoor,Low level of accessibility,All entrances have steps,1.0,144.9593,-37.8112,Queen Street
2095,109417,Regent Theatre,191-197 Collins Street MELBOURNE 3000,9.0,"Performances, Conferences, Ceremonies",Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,144.9678,-37.8158,Collins Street
